program,code,name
The goal of the Bachelor of Technology in,IST 3005,Application of Social Media for
The goal of the Bachelor of Technology in,IST 3015,Business Data Analytics
The goal of the Bachelor of Technology in,IST 3020,Principles of Operating Systems
The goal of the Bachelor of Technology in,IST 3040,Digital Lab
The goal of the Bachelor of Technology in,IST 3050,Introduction to Security Systems
The goal of the Bachelor of Technology in,IST 4020,Systems Analysis and Design
The goal of the Bachelor of Technology in,IST 4030,Database Management Systems
The goal of the Bachelor of Technology in,IST 4035,Advanced Web Design and
The goal of the Bachelor of Technology in,IST 4040,Decision Analysis
The goal of the Bachelor of Technology in,IST 4060,Telecommunications and Networks
The goal of the Bachelor of Technology in,IST 4070,Object-Oriented Programming
The goal of the Bachelor of Technology in,IST 4072,Object Oriented Analysis and Design
The goal of the Bachelor of Technology in,IST 4075,Mobile Applications Development
The goal of the Bachelor of Technology in,IST 4078,IT Innovation and Entrepreneurship
The goal of the Bachelor of Technology in,IST 4900,Information Technology Project
The goal of the Bachelor of Technology in,IST 4910,Information Systems Internship
The philosophy of the Bachelor of Science in,IST 1025,Introduction to Programming
The philosophy of the Bachelor of Science in,APT 1040,Introduction to Web design and
The philosophy of the Bachelor of Science in,APT 1050,Database Systems
The philosophy of the Bachelor of Science in,SWE 1020,Data Structure analysis and algorithms
The philosophy of the Bachelor of Science in,IST 2010,Computer Organization and Assembly
The philosophy of the Bachelor of Science in,APT 2040,Operating Systems
The philosophy of the Bachelor of Science in,APT 2050,Computer Networks and
The philosophy of the Bachelor of Science in,APT 3040,Object Oriented Analysis Design and
The philosophy of the Bachelor of Science in,IST 3050,Introduction to Security Systems
The philosophy of the Bachelor of Science in,AIR 2010,Introduction to Robotics
The philosophy of the Bachelor of Science in,AIR 2040,Real-Time Software Engineering
The philosophy of the Bachelor of Science in,AIR 3010,Design of Real-Time Systems
The philosophy of the Bachelor of Science in,AIR 3060,Robotics Applications Programming
The philosophy of the Bachelor of Science in,AIR 3080,Artificial Intelligence and Robotics
The philosophy of the Bachelor of Science in,APT 3010,Introduction to Artificial Intelligence
The philosophy of the Bachelor of Science in,APT 3025,Applied Machine Learning
The philosophy of the Bachelor of Science in,DST 4020,Mobile Computing
The philosophy of the Bachelor of Science in,AIR 4010,Deep Learning and Computer Vision
The philosophy of the Bachelor of Science in,AIR 4020,Human-Robot Interaction
The philosophy of the Bachelor of Science in,AIR 4040,Reinforcement learning for robotics
The philosophy of the Bachelor of Science in,AIR 4050,Intelligent Multi-Agent Systems
The philosophy of the Bachelor of Science in,AIR 4060,Engineering and Informatics Ethics and
The philosophy of the Bachelor of Science in,AIR 4070,Robotics Design
The philosophy of the Bachelor of Science in,AIR 4080,Industrial Automation and Robotics
The philosophy of the Bachelor of Science in,AIR 4090,Speech and Natural Language
The philosophy of the Bachelor of Science in,AIR 4910,Artificial Intelligence and Robotics
Upon successful completion of the Bachelor of,ACT 1010,Principles of Accounting I
Upon successful completion of the Bachelor of,ECO 1015,Introduction to Economics
Upon successful completion of the Bachelor of,GLG 1010,Introduction to Leadership
Upon successful completion of the Bachelor of,BUS 1010,Introduction to Business
Upon successful completion of the Bachelor of,GLG 2000,Marketing for Business Leaders
Upon successful completion of the Bachelor of,GLG 2010,Psychology of Leadership
Upon successful completion of the Bachelor of,BUS 2020,Business Communications
Upon successful completion of the Bachelor of,GLG 2080,Human Rights and Labour
Upon successful completion of the Bachelor of,BUS 3010,Business Law
Upon successful completion of the Bachelor of,FIN 3010,Principles of Finance
Upon successful completion of the Bachelor of,GLG 3010,Leadership and Organization
Upon successful completion of the Bachelor of,MGT 3010,Principles of Management
Upon successful completion of the Bachelor of,GLG 3020,Policy Formulation & Analysis
Upon successful completion of the Bachelor of,GLG 4020,Sustainable Social Entrepreneurship
Upon successful completion of the Bachelor of,GLG 4030,Communication and Conflict
Upon successful completion of the Bachelor of,MGT 4030,Cross Cultural Management
Upon successful completion of the Bachelor of,MGT 4040,Human Resources Management
Upon successful completion of the Bachelor of,GLG 4090,Global Leadership and Management
Upon successful completion of the Bachelor of,BUS 4090,Strategic Management
Upon successful completion of the Bachelor of,GLG 4910,Global Leadership and Governance
Upon successful completion of the Bachelor of,BUS 4005,Project Management
Upon successful completion of the Bachelor of,BUS 4015,Supply Chain Management
Upon successful completion of the Bachelor of,ENT 4020,Management of Entrepreneurial
Upon successful completion of the Bachelor of,FIN 4030,Investments
Upon successful completion of the Bachelor of,BUS 4000,Corporate Law
Upon successful completion of the Bachelor of,FIN 4020,Corporate Finance
Upon successful completion of the Bachelor of,GLG 4040,Board Leadership and Governance
Upon successful completion of the Bachelor of,GLG 4045,Risk Management
Upon successful completion of the Bachelor of,MGT 4050,Total Quality Management
Upon successful completion of the Bachelor of,FIN 4015,Public Finance and Budgeting
Upon successful completion of the Bachelor of,GLG 4015,Constitutional and Administrative
Upon successful completion of the Bachelor of,GLG 4075,Politics and Administration
Upon successful completion of the Bachelor of,GLG 4080,Global Leadership and Democracy
Upon successful completion of the Bachelor of,GLG 4085,Advocacy and Lobbying
