program,total_units,code,name
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 2030,Data Structures
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 2040,Real-Time Software Engineering
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 3010,Design of Real-Time Systems
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 3020,Machine Learning Fundamentals
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 3030,Neural Networks
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 3060,Robotics Applications Programming
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 3080,Artificial Intelligence and Robotics
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,APT 3010,Introduction to Artificial Intelligence
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,MTH 2010,Probability and Statistics
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4010,Deep Learning and Computer Vision
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4020,Human-Robot Interaction
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4030,Autonomous Systems
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4040,Reinforcement Learning for Robotics
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4050,Intelligent Multi-Agent Systems
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4060,Engineering and Informatics Ethics
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4070,Robotics Design
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4080,Industrial Automation and Robotics
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4090,Speech and Natural Language Processing
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,APT 3040,Object Oriented Analysis Design
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,APT 3060,Mobile Programming
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,DST 4020,Mobile Computing
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,NET 4030,Internet Architecture and Protocols
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,SFE 4020,Software Design and Architecture
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,SFE 4030,Software Testing and Quality
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4100,AI Project I
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4110,AI Project II
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4910,AI and Robotics Internship
Bachelor of Science in Artificial Intelligence (AI) and Robotics,35,AIR 4920,Capstone Project in AI Robotics
Bachelor of Science in Finance,27,ACT 1010,Principles of Accounting I
Bachelor of Science in Finance,27,ACT 2010,Principles of Accounting II
Bachelor of Science in Finance,27,BUS 1010,Introduction to Business
Bachelor of Science in Finance,27,BUS 2020,Business Communications
Bachelor of Science in Finance,27,ECO 1010,Principles of Micro Economics
Bachelor of Science in Finance,27,ECO 1020,Principles of Macro Economics
Bachelor of Science in Finance,27,BUS 4020,Business Mathematics and Statistics
Bachelor of Science in Finance,27,BUS 4030,Quantitative Methods
Bachelor of Science in Finance,27,BUS 4070,Business Values & Ethics
Bachelor of Science in Finance,27,BUS 4090,Strategic Management
Bachelor of Science in Finance,27,FIN 4050,Financial Information Systems
Bachelor of Science in Finance,27,FIN 4060,Financial Management in Public
Bachelor of Science in Finance,27,ECO 4010,Intermediate Microeconomics
Bachelor of Science in Finance,27,ECO 4020,Intermediate Macroeconomics
Bachelor of Science in Finance,27,ECO 4030,Economic Development
Bachelor of Science in Finance,27,ECO 4040,Public Finance
Bachelor of Science in Finance,27,ECO 4050,Health Finance and Economics
Bachelor of Science in Finance,27,FIN 4110,Portfolio and Derivatives
Bachelor of Science in Finance,27,FIN 4120,Pensions and Insurance
Bachelor of Science in Finance,27,FIN 4130,Financial Analysis and Reporting
Bachelor of Science in Finance,27,FIN 4140,Emerging Issues in Finance
Bachelor of Science in Finance,27,FIN 4150,Financial Modelling
Bachelor of Science in Finance,27,FIN 4210,Real Estate Portfolio Management
Bachelor of Science in Finance,27,FIN 4220,Real Estate Investment Analysis
Bachelor of Science in Finance,27,FIN 4230,Real Estate Economics
Bachelor of Science in Finance,27,FIN 4240,Property Law
Bachelor of Science in Finance,27,FIN 4250,Real Estate Management and
Bachelor of Science in Hotel and Restaurant Management,31,ACT 1010,Principles of Accounting I
Bachelor of Science in Hotel and Restaurant Management,31,ACT 2010,Principles of Accounting II
Bachelor of Science in Hotel and Restaurant Management,31,BUS 1010,Introduction to Business
Bachelor of Science in Hotel and Restaurant Management,31,BUS 2020,Business Communications
Bachelor of Science in Hotel and Restaurant Management,31,ECO 1010,Principles of Micro Economics
Bachelor of Science in Hotel and Restaurant Management,31,ECO 1020,Principles of Macro Economics
Bachelor of Science in Hotel and Restaurant Management,31,BUS 3010,Business Law
Bachelor of Science in Hotel and Restaurant Management,31,FIN 3010,Principles of Finance
Bachelor of Science in Hotel and Restaurant Management,31,ACT 4060,Taxation I
Bachelor of Science in Hotel and Restaurant Management,31,ACT 4110,Taxation II
Bachelor of Science in Hotel and Restaurant Management,31,BUS 4020,Business Mathematics and Statistics
Bachelor of Science in Hotel and Restaurant Management,31,BUS 4030,Quantitative Methods
Bachelor of Science in Hotel and Restaurant Management,31,BUS 4070,Business Values & Ethics
Bachelor of Science in Hotel and Restaurant Management,31,BUS 4090,Strategic Management
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4050,Financial Information Systems
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4060,Financial Management in Public
Bachelor of Science in Hotel and Restaurant Management,31,ECO 4010,Intermediate Microeconomics
Bachelor of Science in Hotel and Restaurant Management,31,ECO 4020,Intermediate Macroeconomics
Bachelor of Science in Hotel and Restaurant Management,31,ECO 4030,Economic Development
Bachelor of Science in Hotel and Restaurant Management,31,ECO 4040,Public Finance
Bachelor of Science in Hotel and Restaurant Management,31,ECO 4050,Health Finance and Economics
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4110,Portfolio and Derivatives
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4120,Pensions and Insurance
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4130,Financial Analysis and Reporting
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4140,Emerging Issues in Finance
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4150,Financial Modelling
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4210,Real Estate Portfolio Management
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4220,Real Estate Investment Analysis
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4230,Real Estate Economics
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4240,Property Law
Bachelor of Science in Hotel and Restaurant Management,31,FIN 4250,Real Estate Management and
Bachelor of Science in International Business Administration,51,BUS 4000,Corporate Law
Bachelor of Science in International Business Administration,51,BUS 4005,Project Management
Bachelor of Science in International Business Administration,51,BUS 4080,Business Process Management
Bachelor of Science in International Business Administration,51,BUS 4015,Supply Chain Management
Bachelor of Science in International Business Administration,51,ACT 3010,Accounting Information Systems
Bachelor of Science in International Business Administration,51,ACT 4010,Managerial Accounting
Bachelor of Science in International Business Administration,51,ACT 4020,Financial Accounting I
Bachelor of Science in International Business Administration,51,ACT 4030,Financial Accounting II
Bachelor of Science in International Business Administration,51,ACT 4040,Cost Accounting or
Bachelor of Science in International Business Administration,51,ACT 4050,International Accounting
Bachelor of Science in International Business Administration,51,ENT 4005,Entrepreneurial Behavior & Ethics
Bachelor of Science in International Business Administration,51,ENT 4020,Management of Entrepreneurial
Bachelor of Science in International Business Administration,51,ENT 4040,Electronic Commerce
Bachelor of Science in International Business Administration,51,ENT 4050,International Dimensions of
Bachelor of Science in International Business Administration,51,ENT 4060,Small Business Consulting Finance
Bachelor of Science in International Business Administration,51,FIN 4010,International Managerial Finance
Bachelor of Science in International Business Administration,51,FIN 4020,Corporate Finance
Bachelor of Science in International Business Administration,51,FIN 4030,Investments
Bachelor of Science in International Business Administration,51,FIN 4040,Money and Capital Markets
Bachelor of Science in International Business Administration,51,FIN 4050,Financial Information Systems
Bachelor of Science in International Business Administration,51,ENT 4020,Management of Entrepreneurial
Bachelor of Science in International Business Administration,51,MGT 4010,Dimensions of Leadership and
Bachelor of Science in International Business Administration,51,MGT 4020,Organisations and Organisational
Bachelor of Science in International Business Administration,51,MGT 4040,Human Resource Management
Bachelor of Science in International Business Administration,51,MGT 4050,Total Quality Management
Bachelor of Science in International Business Administration,51,MKT 3020,Marketing Information Systems
Bachelor of Science in International Business Administration,51,MKT 4010,International Marketing
Bachelor of Science in International Business Administration,51,MKT 4020,Marketing Research
Bachelor of Science in International Business Administration,51,MKT 4030,Marketing Communications and
Bachelor of Science in International Business Administration,51,MKT 4050,Services Marketing
Bachelor of Science in International Business Administration,51,ACT 1010,Principles of Accounting I
Bachelor of Science in International Business Administration,51,ACT 2010,Principles of Accounting II
Bachelor of Science in International Business Administration,51,BUS 1010,Introduction to Business
Bachelor of Science in International Business Administration,51,BUS 2010,Business Mathematics
Bachelor of Science in International Business Administration,51,BUS 2020,Business Communications
Bachelor of Science in International Business Administration,51,ECO 1010,Principles of Micro Economics
Bachelor of Science in International Business Administration,51,ECO 1020,Principles of Macro Economics
Bachelor of Science in International Business Administration,51,IST 2040,Information Systems and
Bachelor of Science in International Business Administration,51,BUS 3010,Business Law
Bachelor of Science in International Business Administration,51,BUS 3020,Production and Operations
Bachelor of Science in International Business Administration,51,BUS 3030,Business Statistics
Bachelor of Science in International Business Administration,51,BUS 4070,Business Values and Ethics
Bachelor of Science in International Business Administration,51,BUS 4090,Strategic Management
Bachelor of Science in International Business Administration,51,FIN 3010,Principles of Finance
Bachelor of Science in International Business Administration,51,IBA 4010,International Business Operations
Bachelor of Science in International Business Administration,51,IBA 4020,International Economics and Trade
Bachelor of Science in International Business Administration,51,MGT 3010,Overview of Management Practice
Bachelor of Science in International Business Administration,51,MGT 4030,Cross-Cultural Management
Bachelor of Science in International Business Administration,51,MKT 3010,Principles of Marketing
Bachelor of Science in International Business Administration,51,IBA 4950,International Business Project or
Bachelor of Science in International Business Administration,51,IBA 4910,International Business Internship
Bachelor of Science in Nursing,21,NUR 1010,Foundations of Nursing
Bachelor of Science in Nursing,21,NUR 1020,Anatomy and Physiology for Nurses
Bachelor of Science in Nursing,21,NUR 1030,Pharmacology Basics
Bachelor of Science in Nursing,21,NUR 2010,Medical-Surgical Nursing I
Bachelor of Science in Nursing,21,NUR 2020,Medical-Surgical Nursing II
Bachelor of Science in Nursing,21,NUR 2030,Mental Health Nursing
Bachelor of Science in Nursing,21,NUR 2040,Maternal and Child Health Nursing
Bachelor of Science in Nursing,21,NUR 3010,Community Health Nursing
Bachelor of Science in Nursing,21,NUR 3020,Leadership in Nursing
Bachelor of Science in Nursing,21,NUR 3030,Nursing Research Methods
Bachelor of Science in Nursing,21,NUR 3040,Critical Care Nursing
Bachelor of Science in Nursing,21,NUR 4010,Advanced Nursing Practice
Bachelor of Science in Nursing,21,NUR 4020,Nursing Informatics
Bachelor of Science in Nursing,21,NUR 4030,Professional Nursing Issues
Bachelor of Science in Nursing,21,NUR 4040,Nursing Capstone
Bachelor of Science in Nursing,21,NUR 4910,Clinical Practicum
Bachelor of Science in Nursing,21,BIO 1010,Human Biology
Bachelor of Science in Nursing,21,PSY 1010,Psychology for Healthcare
Bachelor of Science in Nursing,21,NUR 4050,Palliative Care
Bachelor of Science in Nursing,21,NUR 4060,Geriatric Nursing
Bachelor of Science in Nursing,21,NUR 4070,Pediatric Nursing Specialty
Bachelor of Science in Software Engineering,40,IST 1025,Introduction to Programming
Bachelor of Science in Software Engineering,40,APT 1040,Introduction to Web Design and
Bachelor of Science in Software Engineering,40,MTH 1110,Calculus
Bachelor of Science in Software Engineering,40,MTH 2010,Probability and Statistics
Bachelor of Science in Software Engineering,40,APT 1050,Database Systems
Bachelor of Science in Software Engineering,40,SWE 1020,Data Structure Analysis and
Bachelor of Science in Software Engineering,40,IST 2010,Computer Organisation and
Bachelor of Science in Software Engineering,40,MTH 2215,Discrete Mathematics
Bachelor of Science in Software Engineering,40,MTH 2030,Numerical Analysis and its
Bachelor of Science in Software Engineering,40,APT 2030,Digital Electronics
Bachelor of Science in Software Engineering,40,IST 3020,Principles of Operating Systems
Bachelor of Science in Software Engineering,40,APT 2050,Computer Networks and
Bachelor of Science in Software Engineering,40,APT 3010,Introduction to Artificial Intelligence
Bachelor of Science in Software Engineering,40,APT 3020,Knowledge-Based Systems
Bachelor of Science in Software Engineering,40,APT 3040,"Object Oriented Analysis, Design"
Bachelor of Science in Software Engineering,40,APT 3060,Mobile Programming
Bachelor of Science in Software Engineering,40,SWE 2040,Programming with Frameworks
Bachelor of Science in Software Engineering,40,APT 2080,Introduction to Software Engineering
Bachelor of Science in Software Engineering,40,APT 3080,Management Information Systems
Bachelor of Science in Software Engineering,40,SWE 2030,Software Requirements Engineering
Bachelor of Science in Software Engineering,40,APT 2010,System Analysis and Design
Bachelor of Science in Software Engineering,40,SWE 2020,Machine Learning and Big Data
Bachelor of Science in Software Engineering,40,SWE 3050,"Software Verification, Validation and"
Bachelor of Science in Software Engineering,40,SWE 3090,Software Engineering Project I
Bachelor of Science in Software Engineering,40,SWE 3020,Software Quality Assurance and
Bachelor of Science in Software Engineering,40,SWE 3030,Software Costing and Estimation
Bachelor of Science in Software Engineering,40,SFE 4010,Human Computer Interaction
Bachelor of Science in Software Engineering,40,SFE 4015,Software Configuration Management
Bachelor of Science in Software Engineering,40,APP 4080,Collaborative (Team Work In)
Bachelor of Science in Software Engineering,40,SWE 3010,Security and Business Continuity
Bachelor of Science in Software Engineering,40,SWE 3040,Software Engineering Process
Bachelor of Science in Software Engineering,40,SWE 4040,Software Construction and
Bachelor of Science in Software Engineering,40,SWE 4060,Software Project Planning and
Bachelor of Science in Software Engineering,40,SWE 4900,Software Engineering Capstone
Bachelor of Science in Software Engineering,40,SWE 4910,Software Engineering Internship
Bachelor of Science in Software Engineering,40,APT 3095,Cloud Computing and Virtualization
Bachelor of Science in Software Engineering,40,SWE 4070,Advanced Web-Based Systems
Bachelor of Science in Software Engineering,40,SWE 4080,Computer and Network Security
Bachelor of Science in Software Engineering,40,DST 4010,Distributed Systems
Bachelor of Science in Software Engineering,40,SWE 4090,Enterprise Resource Planning
Doctor of Business Administration (DBA),18,DBA 7010,Organizational Theory and Behavior
Doctor of Business Administration (DBA),18,DBA 7020,Strategic Management and Policy
Doctor of Business Administration (DBA),18,DBA 7030,Advanced Financial Management
Doctor of Business Administration (DBA),18,DBA 7040,Global Economics and Finance
Doctor of Business Administration (DBA),18,DBA 7050,Research Methods and Design
Doctor of Business Administration (DBA),18,DBA 7060,Advanced Quantitative Analysis
Doctor of Business Administration (DBA),18,DBA 7070,Business Ethics and Leadership
Doctor of Business Administration (DBA),18,DBA 7080,Innovation and Entrepreneurship
Doctor of Business Administration (DBA),18,DBA 7090,Digital Transformation
Doctor of Business Administration (DBA),18,DBA 7100,Doctoral Seminar I
Doctor of Business Administration (DBA),18,DBA 7110,Doctoral Seminar II
Doctor of Business Administration (DBA),18,DBA 7120,Doctoral Seminar III
Doctor of Business Administration (DBA),18,DBA 8010,Dissertation Proposal Development
Doctor of Business Administration (DBA),18,DBA 8020,Dissertation Research I
Doctor of Business Administration (DBA),18,DBA 8030,Dissertation Research II
Doctor of Business Administration (DBA),18,DBA 8040,Dissertation Defense Preparation
Doctor of Business Administration (DBA),18,DBA 8050,Doctoral Dissertation I
Doctor of Business Administration (DBA),18,DBA 8060,Doctoral Dissertation II
Doctor of Philosophy in Information Systems & Technology,18,IST 7010,Advanced Database Theory
Doctor of Philosophy in Information Systems & Technology,18,IST 7020,Advanced Systems Architecture
Doctor of Philosophy in Information Systems & Technology,18,IST 7030,IT Research Methods and Design
Doctor of Philosophy in Information Systems & Technology,18,IST 7040,Advanced Data Analytics
Doctor of Philosophy in Information Systems & Technology,18,IST 7050,Emerging Technologies
Doctor of Philosophy in Information Systems & Technology,18,IST 7060,IT Strategy and Innovation
Doctor of Philosophy in Information Systems & Technology,18,IST 7070,Advanced Quantitative Methods
Doctor of Philosophy in Information Systems & Technology,18,IST 7080,Seminars in Information Systems I
Doctor of Philosophy in Information Systems & Technology,18,IST 7090,Seminars in Information Systems II
Doctor of Philosophy in Information Systems & Technology,18,IST 7100,Seminars in Information Systems III
Doctor of Philosophy in Information Systems & Technology,18,IST 7110,IT Ethics and Society
Doctor of Philosophy in Information Systems & Technology,18,IST 7120,Professional Development
Doctor of Philosophy in Information Systems & Technology,18,IST 8010,Dissertation Proposal Development
Doctor of Philosophy in Information Systems & Technology,18,IST 8020,Doctoral Research I
Doctor of Philosophy in Information Systems & Technology,18,IST 8030,Doctoral Research II
Doctor of Philosophy in Information Systems & Technology,18,IST 8040,Doctoral Research III
Doctor of Philosophy in Information Systems & Technology,18,IST 8050,Doctoral Dissertation I
Doctor of Philosophy in Information Systems & Technology,18,IST 8060,Doctoral Dissertation II
Doctor of Philosophy in International Relations,18,IRL 7010,International Relations Theory
Doctor of Philosophy in International Relations,18,IRL 7020,Comparative Foreign Policy
Doctor of Philosophy in International Relations,18,IRL 7030,International Political Economy
Doctor of Philosophy in International Relations,18,IRL 7040,Global Governance and Institutions
Doctor of Philosophy in International Relations,18,IRL 7050,Security Studies and Conflict
Doctor of Philosophy in International Relations,18,IRL 7060,Research Design and Methods
Doctor of Philosophy in International Relations,18,IRL 7070,Advanced Quantitative Analysis
Doctor of Philosophy in International Relations,18,IRL 7080,Regional Studies: Africa and Beyond
Doctor of Philosophy in International Relations,18,IRL 7090,Seminars in IR I
Doctor of Philosophy in International Relations,18,IRL 7100,Seminars in IR II
Doctor of Philosophy in International Relations,18,IRL 7110,Seminars in IR III
Doctor of Philosophy in International Relations,18,IRL 7120,Professional Development
Doctor of Philosophy in International Relations,18,IRL 8010,Dissertation Proposal Development
Doctor of Philosophy in International Relations,18,IRL 8020,Doctoral Research I
Doctor of Philosophy in International Relations,18,IRL 8030,Doctoral Research II
Doctor of Philosophy in International Relations,18,IRL 8040,Doctoral Research III
Doctor of Philosophy in International Relations,18,IRL 8050,Doctoral Dissertation I
Doctor of Philosophy in International Relations,18,IRL 8060,Doctoral Dissertation II
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7010,Advanced Psychological Theories
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7020,Advanced Research Methods
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7030,Advanced Psychopathology
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7040,Advanced Assessment and Diagnosis
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7050,Cognitive Behavioral Therapy
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7060,Psychodynamic Psychotherapy
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7070,Trauma and PTSD Treatment
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7080,Child and Adolescent Psychology
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7090,Adult Psychotherapy Issues
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7100,Group and Family Therapy
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7110,Forensic Psychology
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7120,Ethics and Professional Issues
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7130,Clinical Neuroscience
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 7140,Clinical Practicum and Supervision
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 8010,Predoctoral Internship
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 8020,Doctoral Research Project I
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 8030,Doctoral Research Project II
"Doctor of Psychology (PsyD), Clinical Psychology",18,PSY 8040,Clinical Dissertation
Master of Arts in Clinical Psychology,13,PSY 6001,Advanced Theories in Psychology
Master of Arts in Clinical Psychology,13,PSY 6002,Research Methods in Clinical Psychology
Master of Arts in Clinical Psychology,13,PSY 6010,Advanced Psychopathology
Master of Arts in Clinical Psychology,13,PSY 6020,Cognitive and Behavioral Therapies
Master of Arts in Clinical Psychology,13,PSY 6030,Psychodynamic Approaches
Master of Arts in Clinical Psychology,13,PSY 6040,Family Systems Theory
Master of Arts in Clinical Psychology,13,PSY 6050,Group Therapy Techniques
Master of Arts in Clinical Psychology,13,PSY 6060,Psychological Assessment
Master of Arts in Clinical Psychology,13,PSY 6070,Ethics and Professional Issues
Master of Arts in Clinical Psychology,13,PSY 6080,Clinical Practicum I
Master of Arts in Clinical Psychology,13,PSY 6090,Clinical Practicum II
Master of Arts in Clinical Psychology,13,PSY 6100,Master's Thesis I
Master of Arts in Clinical Psychology,13,PSY 6110,Master's Thesis II
Master of Arts in Communication Studies,51,CFD 6110,Development Communication
Master of Arts in Communication Studies,51,CFD 6120,Participatory Communication
Master of Arts in Communication Studies,51,CFD 6130,Public Policy & Advocacy
Master of Arts in Communication Studies,51,CFD 6140,Risk Communication
Master of Arts in Communication Studies,51,CFD 6170,Program Monitoring & Evaluation
Master of Arts in Communication Studies,51,DCM 6110,Multimedia Design
Master of Arts in Communication Studies,51,DCM 6130,Digital Communication Strategy
Master of Arts in Communication Studies,51,DCM 6140,Online Corporate Branding
Master of Arts in Communication Studies,51,DCM 6160,Effective Web Design and Strategy
Master of Arts in Communication Studies,51,DCM 6170,Social Media Strategies
Master of Arts in Communication Studies,51,MDS 6110,Media Criticism and Theory
Master of Arts in Communication Studies,51,MDS 6120,Media Writing
Master of Arts in Communication Studies,51,MDS 6140,"Media, Identity and Representation"
Master of Arts in Communication Studies,51,MDS 6160,Multimedia Journalism
Master of Arts in Communication Studies,51,MDS 6170,Media Management
Master of Arts in Communication Studies,51,CFD 6160,Behavior Change Communication
Master of Arts in Communication Studies,51,CFD 6180,Resource Mobilization
Master of Arts in Communication Studies,51,DCM 6120,Digital Communication & Society
Master of Arts in Communication Studies,51,SCC 6120,Integrated Marketing
Master of Arts in Communication Studies,51,SCC 6110,Corporate Communication
Master of Arts in Communication Studies,51,SCC 6130,Managing the Communication
Master of Arts in Communication Studies,51,SCC 6140,PR Writing
Master of Arts in Communication Studies,51,SCC 6160,Issues & Crisis Management
Master of Arts in Communication Studies,51,SCC 6170,Communications Strategies and
Master of Arts in Communication Studies,51,SCC 6110,Corporate Communication
Master of Arts in Communication Studies,51,SCC 6120,Integrated Marketing
Master of Arts in Communication Studies,51,SCC 6140,PR Writing
Master of Arts in Communication Studies,51,SCC 6160,Issues & Crisis Management
Master of Arts in Communication Studies,51,SCC 6170,Communications Strategies and
Master of Arts in Communication Studies,51,DCM 6110,Multimedia Design
Master of Arts in Communication Studies,51,DCM 6120,Digital Communication & Society
Master of Arts in Communication Studies,51,DCM 6130,Digital Communication Strategy
Master of Arts in Communication Studies,51,DCM 6160,Effective Web Design and Strategy
Master of Arts in Communication Studies,51,DCM 6170,Social Media Strategies
Master of Arts in Communication Studies,51,CFD 6110,Development Communication
Master of Arts in Communication Studies,51,CFD 6120,Participatory Communication
Master of Arts in Communication Studies,51,CFD 6130,Public Policy & Advocacy
Master of Arts in Communication Studies,51,CFD 6140,Risk Communication
Master of Arts in Communication Studies,51,CFD 6170,Program Monitoring & Evaluation
Master of Arts in Communication Studies,51,MDS 6110,Media Criticism and Theory
Master of Arts in Communication Studies,51,MDS 6120,Media Writing
Master of Arts in Communication Studies,51,MDS 6140,"Media, Identity and Representation"
Master of Arts in Communication Studies,51,MDS 6160,Multimedia Journalism
Master of Arts in Communication Studies,51,MDS 6170,Media Management
Master of Arts in Communication Studies,51,CFD 6160,Behaviour Change Communication
Master of Arts in Communication Studies,51,CFD 6150,Project Management
Master of Arts in Communication Studies,51,CFD 6180,Resource Mobilization
Master of Arts in Communication Studies,51,DCM 6140,Online Corporate Branding
Master of Arts in Communication Studies,51,MDS 6130,Political Communication
Master of Arts in Communication Studies,51,MDS 6190,Community Media and ICT in
Master of Arts in Communication Studies,51,SCC 6130,Managing the Communication
Master of Arts in Counseling Psychology,4,PSY 6248,Counseling Practicum I
Master of Arts in Counseling Psychology,4,PSY 6249,Counseling Practicum II
Master of Arts in Counseling Psychology,4,PSY 6248,Counseling Practicum I
Master of Arts in Counseling Psychology,4,PSY 6249,Counseling Practicum II
Master of Arts in Criminal & Transitional Justice,9,CTJ 6030,Reparations & Truth Commissions
Master of Arts in Criminal & Transitional Justice,9,CTJ 6031,Prosecution & Diversion
Master of Arts in Criminal & Transitional Justice,9,CTJ 6032,Punishment & the International
Master of Arts in Criminal & Transitional Justice,9,CTJ 6033,Public & Private Policing
Master of Arts in Criminal & Transitional Justice,9,CTJ 6034,"Law, Crime & Society"
Master of Arts in Criminal & Transitional Justice,9,CTJ 6035,Transitional Justice Comparative
Master of Arts in Criminal & Transitional Justice,9,CTJ 6036,International Criminal Courts &
Master of Arts in Criminal & Transitional Justice,9,CTJ 6020,Thesis 1
Master of Arts in Criminal & Transitional Justice,9,CTJ 6021,Thesis 2
Master of Arts in International Relations,13,IRL 6010,International Relations Theory
Master of Arts in International Relations,13,IRL 6020,Global Governance Systems
Master of Arts in International Relations,13,IRL 6030,Research Methods in IR
Master of Arts in International Relations,13,IRL 6040,International Law and Organizations
Master of Arts in International Relations,13,IRL 6050,Foreign Policy Analysis
Master of Arts in International Relations,13,IRL 6060,International Political Economy
Master of Arts in International Relations,13,IRL 6070,Conflict and Security Studies
Master of Arts in International Relations,13,IRL 6080,Regional Dynamics in Africa
Master of Arts in International Relations,13,IRL 6090,Diplomacy and Negotiation
Master of Arts in International Relations,13,IRL 6100,Advanced IR Seminar
Master of Arts in International Relations,13,IRL 6150,Research Project I
Master of Arts in International Relations,13,IRL 6200,Master's Thesis I
Master of Arts in International Relations,13,IRL 6210,Master's Thesis II
Master of Arts in Marriage and Family Therapy,30,MFT 6800,Introduction to Family Therapy
Master of Arts in Marriage and Family Therapy,30,MFT 6801,MFT Ethics and the Law
Master of Arts in Marriage and Family Therapy,30,MFT 6802,Family Therapy with Adolescents
Master of Arts in Marriage and Family Therapy,30,MFT 6803,Child Abuse and Family Violence
Master of Arts in Marriage and Family Therapy,30,MFT 6805,Group Psychotherapy
Master of Arts in Marriage and Family Therapy,30,MFT 6806,Supervision in MFT
Master of Arts in Marriage and Family Therapy,30,MFT 6807,Couples and Sex
Master of Arts in Marriage and Family Therapy,30,MFT 6812,Family Assessment
Master of Arts in Marriage and Family Therapy,30,PSY 6002,Research Methods
Master of Arts in Marriage and Family Therapy,30,PSY 6704,Clinical Psychopathology I
Master of Arts in Marriage and Family Therapy,30,MFT 6819,"First Responders, Military Personnel"
Master of Arts in Marriage and Family Therapy,30,MFT 6821,"Culture, Attachment and Trauma"
Master of Arts in Marriage and Family Therapy,30,MFT 6822,Immigration Trauma
Master of Arts in Marriage and Family Therapy,30,MFT 6823,Trauma and the Family
Master of Arts in Marriage and Family Therapy,30,MFT 6824,Mindfulness and Acceptance in
Master of Arts in Marriage and Family Therapy,30,MFT 6826,Mindfulness and Family Therapy
Master of Arts in Marriage and Family Therapy,30,MFT 6827,Integrating Mindfulness and
Master of Arts in Marriage and Family Therapy,30,MFT 6828,Mindfulness and Art Therapy
Master of Arts in Marriage and Family Therapy,30,MFT 6804,Publication & Research Presentation
Master of Arts in Marriage and Family Therapy,30,MFT 6809,Family and Divorce Mediation
Master of Arts in Marriage and Family Therapy,30,MFT 6813,Life Work and Planning
Master of Arts in Marriage and Family Therapy,30,MFT 6814,Men and Families
Master of Arts in Marriage and Family Therapy,30,MFT 6815,Couple & Family Therapy with
