level,program,total_units,code,name,status
Graduate,Master of Arts in Counseling Psychology,13,PSY 6020,Cognitive and Behavioral Therapies,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6030,Psychodynamic Approaches,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6040,Family Systems Theory,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6050,Group Therapy Techniques,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6060,Psychological Assessment,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6070,Ethics and Professional Issues,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6080,Clinical Practicum I,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6090,Clinical Practicum II,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6100,Master's Thesis I,Matched
Graduate,Master of Arts in Counseling Psychology,13,PSY 6110,Master's Thesis II,Matched
Graduate,Master of Arts in International Relations,46,ECO 1010,Principles of Microeconomics,Matched
Graduate,Master of Arts in International Relations,46,ECO 1020,Principles of Macroeconomics,Matched
Graduate,Master of Arts in International Relations,46,IRL 3010,Development Issues in Africa,Matched
Graduate,Master of Arts in International Relations,46,IRL 3045,Politics of Regionalism in Africa,Matched
Graduate,Master of Arts in International Relations,46,IRL 4151,Field Study (WI),Matched
Graduate,Master of Arts in International Relations,46,IRL 2100,Introduction to Human Rights,Matched
Graduate,Master of Arts in International Relations,46,IRL 2220,Gender and IR,Matched
Graduate,Master of Arts in International Relations,46,IRL 4035,Environmental Politics,Matched
Graduate,Master of Arts in International Relations,46,IRL 4150,Area Studies,Matched
Graduate,Master of Arts in International Relations,46,IRL 4220,Refugee Studies,Matched
Graduate,Master of Arts in International Relations,46,IRL 4811,Critical Issues in Africa,Matched
Graduate,Master of Arts in International Relations,46,IRL 3100,Diplomacy,Matched
Graduate,Master of Arts in International Relations,46,IRL 3110,Simulation Exercise (OI),Matched
Graduate,Master of Arts in International Relations,46,IRL 3200,Negotiation & Mediation,Matched
Graduate,Master of Arts in International Relations,46,IRL 4120,International Humanitarian Law,Matched
Graduate,Master of Arts in International Relations,46,IRL 4040,Africa � Asia Relations,Matched
Graduate,Master of Arts in International Relations,46,IRL 4055,Africa � Middle East Relations,Matched
Graduate,Master of Arts in International Relations,46,IRL 4050,U.S./Africa Relations,Matched
Graduate,Master of Arts in International Relations,46,IRL 4065,East Africa in World Affairs,Matched
Graduate,Master of Arts in International Relations,46,IRL 4035,Environmental Politics,Matched
Graduate,Master of Arts in International Relations,46,IRL 4151,Field Study (WI),Matched
Graduate,Master of Arts in International Relations,46,IRL 4800,Critical Issues in Kenyan Foreign,Matched
Graduate,Master of Arts in International Relations,46,IRL 2000,Foundations of International,Matched
Graduate,Master of Arts in International Relations,46,IRL 2005,Comparative Foreign Policy,Matched
Graduate,Master of Arts in International Relations,46,IRL 2010,International Organisations,Matched
Graduate,Master of Arts in International Relations,46,POL 2201,Introduction to Political Science,Matched
Graduate,Master of Arts in International Relations,46,IRL 3015,Introduction to Peace & Conflict,Matched
Graduate,Master of Arts in International Relations,46,IRL 3200,Negotiation & Mediation,Matched
Graduate,Master of Arts in International Relations,46,IRL 4001,Regional Conflicts in Africa,Matched
Graduate,Master of Arts in International Relations,46,IRL 4151,Field Study (WI),Matched
Graduate,Master of Arts in International Relations,46,IRL 4010,Geopolitics,Matched
Graduate,Master of Arts in International Relations,46,IRL 4045,Security Studies & Strategies,Matched
Graduate,Master of Arts in International Relations,46,IRL 4035,Environmental Politics,Matched
Graduate,Master of Arts in International Relations,46,IRL 4120,International Humanitarian Law,Matched
Graduate,Master of Arts in International Relations,46,IRL 4220,Refugee Studies,Matched
Graduate,Master of Arts in International Relations,46,IRL 4850,Studies in Contemporary,Matched
Graduate,Master of Arts in International Relations,46,IRL 3000,Comparative Political Systems (ILI),Matched
Graduate,Master of Arts in International Relations,46,IRL 3003,Research Methods in IR (WI),Matched
Graduate,Master of Arts in International Relations,46,IRL 3005,Contemporary Theories & Ideologies,Matched
Graduate,Master of Arts in International Relations,46,IRL 3021,African Philosophy & Ideologies,Matched
Graduate,Master of Arts in International Relations,46,IRL 3060,African International Relations,Matched
Graduate,Master of Arts in International Relations,46,IRL 4020,International Law (OI),Matched
Graduate,Master of Arts in International Relations,46,IRL 4030,International Political Economy (ILI),Matched
Graduate,Master of Arts in International Relations,46,IRL 4075,Mechanism of International,Matched
Graduate,Master of Arts in International Relations,46,IRL 4900,International Relations Project (WI),Matched
Graduate,Master of Arts in International Relations,46,IRL 4910,International Relations Senior,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6800,Introduction to Family Therapy,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6801,MFT Ethics and the Law,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6802,Family Therapy with Adolescents,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6803,Child Abuse and Family Violence,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6805,Group Psychotherapy,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6806,Supervision in MFT,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6807,Couples and Sex,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6812,Family Assessment,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,PSY 6002,Research Methods,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,PSY 6704,Clinical Psychopathology I,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6819,"First Responders, Military Personnel",Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6821,"Culture, Attachment and Trauma",Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6822,Immigration Trauma,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6823,Trauma and the Family,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6824,Mindfulness and Acceptance in,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6826,Mindfulness and Family Therapy,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6827,Integrating Mindfulness and,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6828,Mindfulness and Art Therapy,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6804,Publication & Research Presentation,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6809,Family and Divorce Mediation,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6813,Life Work and Planning,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6814,Men and Families,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6815,Couple & Family Therapy with,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6816,School Counseling Seminar,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6817,Play Therapy,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6818,Current Trends in the Field of Family,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6820,Substance Abuse and Childhood,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6825,Mindfulness Based-play Family,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6810,Master�s Thesis I,Matched
Graduate,Master of Arts in Marriage & Family Therapy,30,MFT 6811,Master�s Thesis II,Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6030,Reparations & Truth Commissions,Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6031,Prosecution & Diversion,Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6032,Punishment & the International,Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6033,Public & Private Policing,Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6034,"Law, Crime & Society",Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6035,Transitional Justice Comparative,Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6036,International Criminal Courts &,Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6020,Thesis 1,Matched
Graduate,Master of Arts in Criminal & Transitional Justice,9,CTJ 6021,Thesis 2,Matched
Graduate,Master of Business Administration,51,BUS 4000,Corporate Law,Matched
Graduate,Master of Business Administration,51,BUS 4005,Project Management,Matched
Graduate,Master of Business Administration,51,BUS 4080,Business Process Management,Matched
Graduate,Master of Business Administration,51,BUS 4015,Supply Chain Management,Matched
Graduate,Master of Business Administration,51,ACT 3010,Accounting Information Systems,Matched
Graduate,Master of Business Administration,51,ACT 4010,Managerial Accounting,Matched
Graduate,Master of Business Administration,51,ACT 4020,Financial Accounting I,Matched
Graduate,Master of Business Administration,51,ACT 4030,Financial Accounting II,Matched
Graduate,Master of Business Administration,51,ACT 4040,Cost Accounting or,Matched
Graduate,Master of Business Administration,51,ACT 4050,International Accounting,Matched
Graduate,Master of Business Administration,51,ENT 4005,Entrepreneurial Behavior & Ethics,Matched
Graduate,Master of Business Administration,51,ENT 4020,Management of Entrepreneurial,Matched
Graduate,Master of Business Administration,51,ENT 4040,Electronic Commerce,Matched
Graduate,Master of Business Administration,51,ENT 4050,International Dimensions of,Matched
Graduate,Master of Business Administration,51,ENT 4060,Small Business Consulting Finance,Matched
Graduate,Master of Business Administration,51,FIN 4010,International Managerial Finance,Matched
Graduate,Master of Business Administration,51,FIN 4020,Corporate Finance,Matched
Graduate,Master of Business Administration,51,FIN 4030,Investments,Matched
Graduate,Master of Business Administration,51,FIN 4040,Money and Capital Markets,Matched
Graduate,Master of Business Administration,51,FIN 4050,Financial Information Systems,Matched
Graduate,Master of Business Administration,51,ENT 4020,Management of Entrepreneurial,Matched
Graduate,Master of Business Administration,51,MGT 4010,Dimensions of Leadership and,Matched
Graduate,Master of Business Administration,51,MGT 4020,Organisations and Organisational,Matched
Graduate,Master of Business Administration,51,MGT 4040,Human Resource Management,Matched
Graduate,Master of Business Administration,51,MGT 4050,Total Quality Management,Matched
Graduate,Master of Business Administration,51,MKT 3020,Marketing Information Systems,Matched
Graduate,Master of Business Administration,51,MKT 4010,International Marketing,Matched
Graduate,Master of Business Administration,51,MKT 4020,Marketing Research,Matched
Graduate,Master of Business Administration,51,MKT 4030,Marketing Communications and,Matched
Graduate,Master of Business Administration,51,MKT 4050,Services Marketing,Matched
Graduate,Master of Business Administration,51,ACT 1010,Principles of Accounting I,Matched
Graduate,Master of Business Administration,51,ACT 2010,Principles of Accounting II,Matched
Graduate,Master of Business Administration,51,BUS 1010,Introduction to Business,Matched
Graduate,Master of Business Administration,51,BUS 2010,Business Mathematics,Matched
Graduate,Master of Business Administration,51,BUS 2020,Business Communications,Matched
Graduate,Master of Business Administration,51,ECO 1010,Principles of Micro Economics,Matched
Graduate,Master of Business Administration,51,ECO 1020,Principles of Macro Economics,Matched
Graduate,Master of Business Administration,51,IST 2040,Information Systems and,Matched
Graduate,Master of Business Administration,51,BUS 3010,Business Law,Matched
Graduate,Master of Business Administration,51,BUS 3020,Production and Operations,Matched
Graduate,Master of Business Administration,51,BUS 3030,Business Statistics,Matched
Graduate,Master of Business Administration,51,BUS 4070,Business Values and Ethics,Matched
Graduate,Master of Business Administration,51,BUS 4090,Strategic Management,Matched
Graduate,Master of Business Administration,51,FIN 3010,Principles of Finance,Matched
Graduate,Master of Business Administration,51,IBA 4010,International Business Operations,Matched
Graduate,Master of Business Administration,51,IBA 4020,International Economics and Trade,Matched
Graduate,Master of Business Administration,51,MGT 3010,Overview of Management Practice,Matched
Graduate,Master of Business Administration,51,MGT 4030,Cross-Cultural Management,Matched
Graduate,Master of Business Administration,51,MKT 3010,Principles of Marketing,Matched
Graduate,Master of Business Administration,51,IBA 4950,International Business Project or,Matched
Graduate,Master of Business Administration,51,IBA 4910,International Business Internship,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6010,Global Strategic Management,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6020,Management of Global Organizations,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6030,International Business Strategy,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6040,International Financial Markets,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6050,Global Supply Chain Management,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6055,International Business and Trade,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6060,Cross-Cultural Management,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6070,Global Marketing Strategy,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6080,Global Entrepreneurship,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6090,Research Methods in Global Business,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6100,Global Business Seminar,Matched
Graduate,Master of Business Administration – Global Business Management,12,GMB 6110,Capstone: Global Business Strategy,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6010,Organisation Theory in Health,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6015,Health Systems and Economics,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6020,Project Management and Leadership,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6025,Health Policy and Governance,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6030,Healthcare Financial Management,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6040,Health Management Information Systems,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6050,Quality and Patient Safety,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6060,Human Resources in Healthcare,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6070,Strategic Human Resource Development,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6080,Healthcare Marketing and Communications,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6090,Research Methods in Health Management,Matched
Graduate,Master of Business Administration – Health Leadership & Management,12,MBH 6100,Capstone: Healthcare Leadership,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6010,Organization Theory and Design,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6020,Organizational Change Management,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6030,Human Resource Development,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6040,Leadership Development,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6050,Performance Management Systems,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6060,Organizational Culture and Climate,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6070,Strategic Planning for Organizations,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6080,Research Methods in OD,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6090,Consulting and Intervention,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6100,OD Practicum,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6110,Advanced OD Topics,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6200,Master's Thesis I,Matched
Graduate,Master of Science in Management & Organizational Development,13,MOD 6210,Master's Thesis II,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6010,Advanced Database Systems,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6020,Enterprise Systems Architecture,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6030,IT Project Management,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6040,IT Strategic Planning,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6050,Systems Analysis and Design,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6060,Business Process Management,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6070,Data Analytics for Business,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6080,Research Methods in IS,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6090,IT Governance,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6100,IS Practicum,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6150,Capstone Project I,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6200,Master's Thesis I,Matched
Graduate,Master of Science in Information Systems & Technology,13,IST 6210,Master's Thesis II,Matched
Graduate,Master of Science in Information Security,13,ISC 6010,Cybersecurity Fundamentals,Matched
Graduate,Master of Science in Information Security,13,ISC 6020,Network Security and Management,Matched
Graduate,Master of Science in Information Security,13,ISC 6030,Cryptography,Matched
Graduate,Master of Science in Information Security,13,ISC 6040,Incident Response and Forensics,Matched
Graduate,Master of Science in Information Security,13,ISC 6050,Secure Software Development,Matched
Graduate,Master of Science in Information Security,13,ISC 6060,IT Risk Management,Matched
Graduate,Master of Science in Information Security,13,ISC 6070,Compliance and Privacy Regulations,Matched
Graduate,Master of Science in Information Security,13,ISC 6080,Advanced Threats and Vulnerabilities,Matched
Graduate,Master of Science in Information Security,13,ISC 6090,Security Architecture and Design,Matched
Graduate,Master of Science in Information Security,13,ISC 6100,Security Practicum,Matched
Graduate,Master of Science in Information Security,13,ISC 6150,Security Capstone Project,Matched
Graduate,Master of Science in Information Security,13,ISC 6200,Master's Thesis I,Matched
Graduate,Master of Science in Information Security,13,ISC 6210,Master's Thesis II,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6010,Global Financial Markets,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6020,International Banking,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6030,Foreign Exchange Management,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6040,International Trade Finance,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6050,Risk Management in Banking,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6060,Portfolio Management,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6070,Derivatives and Hedging,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6080,Financial Regulation and Compliance,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6090,Research Methods in Finance,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6100,Banking and Finance Practicum,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6150,Finance Capstone Project,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6200,Master's Thesis I,Matched
Graduate,Master of Science in Global Banking & Finance,13,FIN 6210,Master's Thesis II,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6410,Advanced Machine Learning,Matched
Graduate,Master of Science in Data Science & Analytics,15,MTH 6420,Graph Analytics,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6430,Data Mining and Warehousing,Matched
Graduate,Master of Science in Data Science & Analytics,15,STA 6510,Multivariate Methods,Matched
Graduate,Master of Science in Data Science & Analytics,15,MTH 6520,Optimization and Simulation,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6410,Advanced Machine Learning,Matched
Graduate,Master of Science in Data Science & Analytics,15,MTH 6420,Graph Analytics,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6430,Data Mining and Warehousing,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6450,DevOps,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6530,Software Design and Architecture,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6460,Business Analytics,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6470,Fraud Detection Analytics,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6480,Text Analytics,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6550,Finance and Risk Management,Matched
Graduate,Master of Science in Data Science & Analytics,15,MDA 6560,Geo-Intelligence/ Spatial Analytics,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6010,Advanced Pharmacology,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6020,Clinical Therapeutics I,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6030,Clinical Therapeutics II,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6040,Pharmacokinetics and Pharmacodynamics,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6050,Drug Development and Regulation,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6060,Clinical Drug Interactions,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6070,Pharmacogenomics,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6080,Research Methods in Pharmacology,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6090,Evidence-Based Practice,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6100,Clinical Pharmacy Practicum,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6110,Advanced Topics in Pharmacology,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6200,Master's Thesis I,Matched
Graduate,Master of Science in Clinical Pharmacology & Therapeutics,13,PHM 6210,Master's Thesis II,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 4000,Corporate Law,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 4005,Project Management,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 4080,Business Process Management,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 4015,Supply Chain Management,Matched
Doctoral,Doctor of Business Administration (DBA),51,ACT 3010,Accounting Information Systems,Matched
Doctoral,Doctor of Business Administration (DBA),51,ACT 4010,Managerial Accounting,Matched
Doctoral,Doctor of Business Administration (DBA),51,ACT 4020,Financial Accounting I,Matched
Doctoral,Doctor of Business Administration (DBA),51,ACT 4030,Financial Accounting II,Matched
Doctoral,Doctor of Business Administration (DBA),51,ACT 4040,Cost Accounting or,Matched
Doctoral,Doctor of Business Administration (DBA),51,ACT 4050,International Accounting,Matched
Doctoral,Doctor of Business Administration (DBA),51,ENT 4005,Entrepreneurial Behavior & Ethics,Matched
Doctoral,Doctor of Business Administration (DBA),51,ENT 4020,Management of Entrepreneurial,Matched
Doctoral,Doctor of Business Administration (DBA),51,ENT 4040,Electronic Commerce,Matched
Doctoral,Doctor of Business Administration (DBA),51,ENT 4050,International Dimensions of,Matched
Doctoral,Doctor of Business Administration (DBA),51,ENT 4060,Small Business Consulting Finance,Matched
Doctoral,Doctor of Business Administration (DBA),51,FIN 4010,International Managerial Finance,Matched
Doctoral,Doctor of Business Administration (DBA),51,FIN 4020,Corporate Finance,Matched
Doctoral,Doctor of Business Administration (DBA),51,FIN 4030,Investments,Matched
Doctoral,Doctor of Business Administration (DBA),51,FIN 4040,Money and Capital Markets,Matched
Doctoral,Doctor of Business Administration (DBA),51,FIN 4050,Financial Information Systems,Matched
Doctoral,Doctor of Business Administration (DBA),51,ENT 4020,Management of Entrepreneurial,Matched
Doctoral,Doctor of Business Administration (DBA),51,MGT 4010,Dimensions of Leadership and,Matched
Doctoral,Doctor of Business Administration (DBA),51,MGT 4020,Organisations and Organisational,Matched
Doctoral,Doctor of Business Administration (DBA),51,MGT 4040,Human Resource Management,Matched
Doctoral,Doctor of Business Administration (DBA),51,MGT 4050,Total Quality Management,Matched
Doctoral,Doctor of Business Administration (DBA),51,MKT 3020,Marketing Information Systems,Matched
Doctoral,Doctor of Business Administration (DBA),51,MKT 4010,International Marketing,Matched
Doctoral,Doctor of Business Administration (DBA),51,MKT 4020,Marketing Research,Matched
Doctoral,Doctor of Business Administration (DBA),51,MKT 4030,Marketing Communications and,Matched
Doctoral,Doctor of Business Administration (DBA),51,MKT 4050,Services Marketing,Matched
Doctoral,Doctor of Business Administration (DBA),51,ACT 1010,Principles of Accounting I,Matched
Doctoral,Doctor of Business Administration (DBA),51,ACT 2010,Principles of Accounting II,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 1010,Introduction to Business,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 2010,Business Mathematics,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 2020,Business Communications,Matched
Doctoral,Doctor of Business Administration (DBA),51,ECO 1010,Principles of Micro Economics,Matched
Doctoral,Doctor of Business Administration (DBA),51,ECO 1020,Principles of Macro Economics,Matched
Doctoral,Doctor of Business Administration (DBA),51,IST 2040,Information Systems and,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 3010,Business Law,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 3020,Production and Operations,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 3030,Business Statistics,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 4070,Business Values and Ethics,Matched
Doctoral,Doctor of Business Administration (DBA),51,BUS 4090,Strategic Management,Matched
Doctoral,Doctor of Business Administration (DBA),51,FIN 3010,Principles of Finance,Matched
Doctoral,Doctor of Business Administration (DBA),51,IBA 4010,International Business Operations,Matched
Doctoral,Doctor of Business Administration (DBA),51,IBA 4020,International Economics and Trade,Matched
Doctoral,Doctor of Business Administration (DBA),51,MGT 3010,Overview of Management Practice,Matched
Doctoral,Doctor of Business Administration (DBA),51,MGT 4030,Cross-Cultural Management,Matched
Doctoral,Doctor of Business Administration (DBA),51,MKT 3010,Principles of Marketing,Matched
Doctoral,Doctor of Business Administration (DBA),51,IBA 4950,International Business Project or,Matched
Doctoral,Doctor of Business Administration (DBA),51,IBA 4910,International Business Internship,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 1101,Introduction to Psychology,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 1105,Developmental Psychology,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 2105,Social Psychology,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 2120,Psychology of Learning,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 3110,Psychology of Personality,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 3115,Abnormal Psychology,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 3150,Research Methods in Psychology,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 4010,Seminar in Psychology,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 2125,Human Sexuality,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 3142,Industrial and Organizational Psychology,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 3143,Psychology at Work I,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 4142,Psychology at Work II,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 4143,Social Psychology in Organizations,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 4144,Communication and Leadership,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 3171,Social Psychology of Health Care,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 3172,Understanding Grief Loss and Change,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 4171,Behavioral Health Therapy,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,PSY 4172,HIV and AIDS Testing Counseling,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,BIO 1010,Human Biology,Matched
Doctoral,"Doctor of Psychology (PsyD), Clinical Psychology",20,COM 3000,Organizational Communication,Matched
Doctoral,Doctor of Philosophy in International Relations,18,IRL 7010,International Relations Theory,Matched
